Company,Product_Type,Eco friendly,Country,Production_Year,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,Sales_Revenue
Forever 21,Linen,Most,Denmark,2019,1704,9,4662,966,206,428777
Forever 21,Recycled_Poly,Moderate,United States,2018,3143,14,5459,1156,404,531224
Zara,Recycled_Poly,Moderate,United States,2022,3037,17,5316,1104,367,521655
Forever 21,Tencel,Most,Denmark,2020,2469,11,4252,743,283,442624
Nike,Nylon,Least,China,2019,3550,19,20,1097,532,487743
Forever 21,Tencel,Most,Finland,2020,1974,10,4122,864,214,431076
Urban Outfitters,Synthetic_Blend,Least,Indonesia,2018,4413,20,5984,1071,579,543048
Zara,Recycled_Poly,Moderate,Mexico,2019,2815,15,4772,1062,402,445336
Forever 21,Polyester,Least,Indonesia,2020,4961,22,6346,1243,553,543584
Forever 21,Linen,Most,Norway,2019,2370,11,4418,861,233,418230
Adidas,Wool,Most,Switzerland,2020,1596,9,3998,777,160,461307
Zara,Polyester,Least,Bangladesh,2019,4748,23,6425,1275,569,529993
Urban Outfitters,Recycled_Poly,Moderate,Italy,2021,2715,13,5414,1062,375,525502
Nike,Organic_Cotton,Most,Switzerland,2019,1957,8,3659,851,143,485706
Zara,Viscose,Moderate,France,2018,3556,16,4925,1084,403,446450
Zara,Polyester,Least,Bangladesh,2019,4466,23,6864,1212,593,548172
Nike,Polyester,Least,Bangladesh,2020,3420,19,20,944,462,529286
Urban Outfitters,Wool,Most,Switzerland,2018,2198,9,4192,883,245,452484
Nike,Cotton,Least,Bangladesh,2021,4052,20,18,937,420,498389
Adidas,Tencel,Most,Finland,2020,1979,9,3415,603,135,494144
Forever 21,Linen,Most,Denmark,2020,1658,9,4683,755,300,465634
Nike,Tencel,Most,Denmark,2019,1690,8,3338,852,145,409655
Urban Outfitters,Wool,Most,Norway,2021,2396,8,3717,718,271,446970
Forever 21,Microfiber,Moderate,Mexico,2020,3130,17,5166,1206,444,473427
Zara,Microfiber,Moderate,Spain,2021,3225,14,4726,1238,464,450642
Urban Outfitters,Tencel,Most,Norway,2018,1847,12,4412,898,287,408158
Forever 21,Organic_Cotton,Most,Finland,2020,1748,9,4652,855,288,456593
Urban Outfitters,Polyester,Least,Brazil,2018,3554,20,5603,1111,481,495227
Forever 21,Viscose,Moderate,Mexico,2022,2895,15,4961,1057,325,457210
Adidas,Polyester,Least,Indonesia,2020,3918,19,19,1054,475,539591
Nike,Viscose,Moderate,Spain,2021,2843,14,4855,1038,318,500508
Forever 21,Polyester,Least,India,2018,4567,20,6629,1288,499,498486
Urban Outfitters,Polyester,Least,Indonesia,2021,4616,21,5903,1087,568,555145
Forever 21,Cotton,Least,Brazil,2021,3885,20,6185,1164,619,530151
Zara,Linen,Most,Norway,2019,1561,11,4365,782,235,412339
Adidas,Recycled_Poly,Moderate,France,2022,2503,15,4606,1012,310,524293
Forever 21,Linen,Most,Switzerland,2022,2173,9,3966,901,287,479018
Nike,Synthetic_Blend,Least,Bangladesh,2018,3932,20,17,931,530,546250
Zara,Tencel,Most,Denmark,2021,1647,9,3700,802,250,454472
Forever 21,Organic_Cotton,Most,Sweden,2021,2022,12,4386,790,262,447926
Nike,Viscose,Moderate,Mexico,2020,2695,14,4766,1097,366,455311
Nike,Viscose,Moderate,Spain,2018,2356,15,4916,968,298,471052
Zara,Nylon,Least,China,2022,4711,23,6964,1146,568,501178
Forever 21,Organic_Cotton,Most,Switzerland,2019,2244,10,4180,710,232,462985
Zara,Nylon,Least,China,2019,3720,21,6128,1195,535,489640
Zara,Viscose,Moderate,France,2021,2830,16,5434,1074,360,449910
Adidas,Organic_Cotton,Most,Sweden,2019,1866,8,3508,857,192,476040
Adidas,Linen,Most,Finland,2021,1626,9,3934,850,144,449866
Nike,Wool,Most,Denmark,2021,1786,8,3454,898,152,401625
Adidas,Tencel,Most,Sweden,2019,1499,10,3546,763,226,465707
Nike,Nylon,Least,Indonesia,2018,3817,17,17,1077,546,493084
Adidas,Recycled_Poly,Moderate,United States,2021,3076,12,5080,993,344,519699
Urban Outfitters,Nylon,Least,India,2019,4792,18,5711,1115,516,545181
Adidas,Tencel,Most,Denmark,2022,1322,9,3774,874,135,499410
Adidas,Synthetic_Blend,Least,Indonesia,2018,3265,16,19,1065,549,534807
Zara,Nylon,Least,Bangladesh,2020,5319,21,6789,1141,485,545837
Nike,Linen,Most,Switzerland,2019,1557,9,3984,666,216,459197
Forever 21,Organic_Cotton,Most,Norway,2021,2149,9,3691,962,214,480757
Nike,Nylon,Least,Bangladesh,2019,3690,19,17,1091,486,501185
Forever 21,Viscose,Moderate,United States,2022,2885,16,5630,1168,363,521992
Adidas,Polyester,Least,Brazil,2019,3938,17,18,915,440,547538
Zara,Organic_Cotton,Most,Sweden,2020,2418,12,4159,704,259,492284
Adidas,Recycled_Poly,Moderate,United States,2020,2347,12,5102,1041,372,539618
Adidas,Nylon,Least,India,2019,3415,20,20,1002,570,514673
Forever 21,Cotton,Least,Indonesia,2018,5238,19,6199,1287,478,506404
Urban Outfitters,Linen,Most,Switzerland,2022,1685,12,3660,955,254,427801
Urban Outfitters,Microfiber,Moderate,Mexico,2021,2863,17,4916,1029,397,476822
Zara,Organic_Cotton,Most,Norway,2018,1970,11,3658,788,261,416079
Nike,Linen,Most,Norway,2022,1683,9,3460,799,160,459447
Forever 21,Organic_Cotton,Most,Finland,2019,2378,10,4426,810,273,410348
Adidas,Wool,Most,Sweden,2019,1674,8,3489,732,223,477881
Nike,Recycled_Poly,Moderate,Italy,2019,2958,16,4379,977,388,536920
Zara,Microfiber,Moderate,Italy,2018,3004,14,4833,1056,409,478525
Nike,Viscose,Moderate,France,2021,3118,13,4745,1016,316,532592
Nike,Cotton,Least,Indonesia,2020,3440,18,16,970,534,545534
Nike,Tencel,Most,Finland,2021,1312,8,3575,720,225,496850
Urban Outfitters,Linen,Most,Norway,2020,2096,11,4352,664,202,486253
Zara,Organic_Cotton,Most,Sweden,2021,1909,9,4204,1021,242,426173
Adidas,Polyester,Least,India,2020,4421,18,20,912,496,508505
Nike,Synthetic_Blend,Least,Indonesia,2020,3656,16,17,1007,496,516303
Nike,Polyester,Least,Bangladesh,2020,3895,20,19,1089,569,481494
Urban Outfitters,Microfiber,Moderate,France,2019,3405,17,4568,1089,407,480120
Forever 21,Organic_Cotton,Most,Denmark,2019,2260,10,3796,994,198,492791
Nike,Tencel,Most,Denmark,2018,1853,8,3617,677,191,482882
Adidas,Tencel,Most,Finland,2021,1686,8,3567,894,199,484058
Urban Outfitters,Cotton,Least,Brazil,2022,4828,22,6734,1123,597,487483
Zara,Tencel,Most,Denmark,2021,1984,9,3915,721,316,427915
Adidas,Wool,Most,Sweden,2019,1991,10,3928,721,137,492568
Urban Outfitters,Recycled_Poly,Moderate,France,2020,3249,17,5174,1147,352,514106
Zara,Polyester,Least,Indonesia,2022,4791,22,7046,1172,565,514734
Forever 21,Synthetic_Blend,Least,China,2020,3821,23,5878,1189,509,514315
Urban Outfitters,Cotton,Least,Brazil,2018,3756,20,5928,1019,503,486355
Adidas,Microfiber,Moderate,Italy,2022,2289,13,4791,964,355,460198
Adidas,Microfiber,Moderate,Mexico,2018,2305,13,4623,991,300,534405
Zara,Linen,Most,Denmark,2019,2366,12,3877,847,230,466110
Urban Outfitters,Viscose,Moderate,United States,2018,2882,16,4943,1079,325,507735
Forever 21,Recycled_Poly,Moderate,Mexico,2019,3394,16,5600,1101,386,441453
Urban Outfitters,Tencel,Most,Switzerland,2022,1934,8,3728,693,289,466424
Nike,Organic_Cotton,Most,Finland,2019,1568,8,3825,767,155,481084
Zara,Synthetic_Blend,Least,Indonesia,2019,3800,23,6082,1195,523,530923
Urban Outfitters,Linen,Most,Norway,2022,1572,11,4147,766,190,446981
Adidas,Polyester,Least,Brazil,2019,4154,17,19,928,531,531573
Urban Outfitters,Linen,Most,Denmark,2019,1866,10,4092,864,211,421697
Zara,Synthetic_Blend,Least,Indonesia,2018,4127,22,6661,1172,552,557765
Nike,Viscose,Moderate,Spain,2020,2400,15,4334,1042,309,497754
Forever 21,Organic_Cotton,Most,Sweden,2022,2475,10,4686,998,244,459220
Adidas,Tencel,Most,Norway,2021,1825,9,3320,795,162,482793
Zara,Polyester,Least,Brazil,2020,5184,22,6844,1103,490,504264
Nike,Nylon,Least,Brazil,2018,3362,16,20,930,557,534220
Adidas,Organic_Cotton,Most,Norway,2018,1729,8,3572,660,177,475285
Nike,Viscose,Moderate,Spain,2021,2523,16,4771,1010,313,496351
Adidas,Synthetic_Blend,Least,Brazil,2019,4211,20,17,1043,462,553702
Urban Outfitters,Organic_Cotton,Most,Switzerland,2022,2159,12,3833,679,281,452574
Adidas,Nylon,Least,China,2022,3248,20,16,1001,578,545202
Zara,Polyester,Least,India,2019,3999,20,5717,1154,562,530943
Nike,Tencel,Most,Finland,2018,1940,8,3813,713,174,494183
Nike,Synthetic_Blend,Least,Bangladesh,2022,4438,20,18,1000,408,517329
Nike,Recycled_Poly,Moderate,Mexico,2021,2426,12,4685,1014,373,531122
Forever 21,Microfiber,Moderate,Mexico,2020,2973,17,5114,1068,367,513993
Nike,Microfiber,Moderate,United States,2019,2474,15,5094,1041,370,529402
Adidas,Linen,Most,Denmark,2020,1436,8,3623,603,152,454930
Nike,Synthetic_Blend,Least,Brazil,2022,3776,18,19,1074,547,542873
Urban Outfitters,Microfiber,Moderate,Italy,2018,2653,14,4716,1045,337,485882
Urban Outfitters,Viscose,Moderate,Mexico,2021,3000,14,5149,1184,360,514010
Zara,Polyester,Least,Bangladesh,2020,4390,23,6488,1249,540,486646
Zara,Microfiber,Moderate,Spain,2018,3000,17,5424,1168,334,532446
Zara,Tencel,Most,Norway,2020,1957,12,3956,831,208,471013
Forever 21,Organic_Cotton,Most,Switzerland,2022,1500,9,4520,1004,203,416322
Zara,Cotton,Least,Brazil,2022,4425,21,6175,1212,547,480995
Nike,Viscose,Moderate,France,2019,3115,12,4604,907,398,483212
Nike,Synthetic_Blend,Least,China,2022,3859,20,18,1087,426,548934
Forever 21,Linen,Most,Sweden,2018,1940,10,4311,1029,247,412578
Nike,Viscose,Moderate,France,2018,2959,13,5218,944,274,441378
Zara,Cotton,Least,India,2020,3791,21,6210,1192,492,510158
Adidas,Synthetic_Blend,Least,China,2019,3868,18,16,969,417,494155
Adidas,Synthetic_Blend,Least,China,2020,3920,20,19,974,568,549047
Nike,Organic_Cotton,Most,Sweden,2022,1527,9,3925,644,182,432380
Forever 21,Viscose,Moderate,United States,2019,3496,14,4826,1219,467,504683
Nike,Tencel,Most,Norway,2022,1385,9,3412,732,199,435091
Adidas,Linen,Most,Switzerland,2020,1533,8,3639,792,198,425714
Urban Outfitters,Recycled_Poly,Moderate,Mexico,2021,3140,15,5285,1160,354,467842
Zara,Organic_Cotton,Most,Denmark,2018,2199,10,4086,982,196,484084
Nike,Wool,Most,Sweden,2018,1598,8,3750,714,225,473003
Adidas,Polyester,Least,Brazil,2021,4331,18,17,1055,404,541136
Nike,Organic_Cotton,Most,Switzerland,2022,1984,9,3574,768,222,445453
Adidas,Tencel,Most,Finland,2018,1603,8,3890,644,182,423453
Forever 21,Polyester,Least,India,2019,3761,23,7097,1241,597,508221
Adidas,Viscose,Moderate,Spain,2019,2517,13,4306,1059,291,525721
Adidas,Organic_Cotton,Most,Norway,2021,1377,10,3697,890,217,450787
Adidas,Recycled_Poly,Moderate,Italy,2020,2225,12,4928,988,369,496752
Zara,Cotton,Least,China,2019,3683,20,7086,1205,472,502175
Urban Outfitters,Tencel,Most,Denmark,2021,1971,11,3673,650,183,415951
Zara,Microfiber,Moderate,Spain,2019,3154,15,5472,1144,338,503206
Urban Outfitters,Viscose,Moderate,Mexico,2021,3225,14,5136,1030,337,485746
Zara,Cotton,Least,China,2022,4463,22,5725,1220,613,505071
Zara,Viscose,Moderate,United States,2022,2766,15,5465,1250,446,445474
Adidas,Polyester,Least,Brazil,2019,4127,18,18,976,539,504919
Adidas,Microfiber,Moderate,Mexico,2019,2539,14,4790,1069,300,511537
Nike,Microfiber,Moderate,Italy,2019,2520,12,4607,916,415,517655
Zara,Organic_Cotton,Most,Switzerland,2018,1889,10,4317,786,281,430037
Forever 21,Microfiber,Moderate,United States,2021,2991,15,5369,1092,375,516717
Zara,Synthetic_Blend,Least,Indonesia,2021,4510,23,6772,1169,557,551830
Urban Outfitters,Organic_Cotton,Most,Sweden,2022,2496,8,3802,752,183,468765
Urban Outfitters,Wool,Most,Norway,2018,1638,11,3872,885,280,460351
Adidas,Tencel,Most,Finland,2022,1856,8,3854,687,196,447010
Zara,Linen,Most,Finland,2021,2346,10,4210,859,219,477214
Nike,Microfiber,Moderate,Mexico,2020,2818,15,4968,1004,304,445475
Nike,Microfiber,Moderate,France,2018,3171,15,4677,1084,287,445836
Zara,Organic_Cotton,Most,Denmark,2018,1780,9,4454,953,225,436309
Adidas,Recycled_Poly,Moderate,France,2021,2351,16,4343,1005,401,454963
Adidas,Tencel,Most,Switzerland,2022,1606,10,4003,616,210,496229
Adidas,Viscose,Moderate,Italy,2018,2935,15,4844,1081,303,451218
Nike,Microfiber,Moderate,Mexico,2021,3144,14,4746,1034,269,509965
Zara,Microfiber,Moderate,Spain,2018,2819,14,5627,1170,381,538020
Adidas,Polyester,Least,China,2020,3244,20,18,1061,462,517749
Nike,Tencel,Most,Denmark,2018,1679,9,3503,817,151,488236
Urban Outfitters,Cotton,Least,India,2018,4487,18,6840,1036,478,528180
Nike,Nylon,Least,Brazil,2019,3545,19,18,957,503,507908
Forever 21,Synthetic_Blend,Least,India,2022,3785,19,5874,1251,589,541098
Urban Outfitters,Linen,Most,Switzerland,2022,2091,12,4143,853,195,410006
Adidas,Linen,Most,Norway,2021,1905,10,3860,739,179,498968
Zara,Wool,Most,Norway,2022,2272,9,4028,1043,239,457200
Forever 21,Organic_Cotton,Most,Switzerland,2020,2467,9,4042,703,275,404737
Adidas,Viscose,Moderate,Italy,2022,2377,15,5028,972,264,506762
Nike,Tencel,Most,Denmark,2021,1604,8,3353,771,153,414598
Forever 21,Nylon,Least,China,2018,4382,21,6252,1118,521,546056
Adidas,Recycled_Poly,Moderate,Mexico,2021,2704,16,4965,925,355,470802
Nike,Organic_Cotton,Most,Norway,2020,1546,10,4056,832,148,402236
Adidas,Microfiber,Moderate,France,2021,2831,15,4490,939,363,509804
Urban Outfitters,Synthetic_Blend,Least,Indonesia,2018,3710,22,6150,1124,523,518852
Urban Outfitters,Viscose,Moderate,France,2021,2662,13,4836,1159,358,448493
Adidas,Recycled_Poly,Moderate,Spain,2022,2412,14,5222,958,414,486214
Zara,Organic_Cotton,Most,Sweden,2022,1581,11,3900,920,199,404592
Zara,Organic_Cotton,Most,Sweden,2018,1976,11,4323,867,317,498200
Nike,Cotton,Least,India,2019,4053,20,19,1029,570,522753
Zara,Cotton,Least,China,2022,4599,21,7095,1215,503,517544
Adidas,Recycled_Poly,Moderate,Mexico,2021,3189,13,4956,1006,386,474764
Adidas,Linen,Most,Finland,2018,1819,10,3394,700,197,413729
Urban Outfitters,Microfiber,Moderate,Italy,2018,2509,13,4527,1109,402,450612
Forever 21,Wool,Most,Finland,2022,1738,11,3801,903,256,495916
Urban Outfitters,Polyester,Least,Brazil,2020,4742,19,6910,1106,484,500928
Zara,Nylon,Least,Indonesia,2019,4317,23,5745,1153,486,518705
Nike,Recycled_Poly,Moderate,France,2019,2731,15,5153,985,389,503939
Zara,Linen,Most,Denmark,2021,2105,12,3941,875,196,459659
Nike,Linen,Most,Switzerland,2020,1867,8,3745,685,213,455202
Nike,Polyester,Least,Indonesia,2019,3434,19,18,1010,546,492910
Forever 21,Wool,Most,Sweden,2020,1828,10,4175,858,200,498283
Adidas,Viscose,Moderate,Italy,2020,2931,14,4530,993,352,472052
Forever 21,Synthetic_Blend,Least,Brazil,2019,4322,21,6732,1138,502,490884
Urban Outfitters,Linen,Most,Denmark,2022,2140,10,3537,988,199,477197
Nike,Tencel,Most,Switzerland,2020,1896,10,3800,828,131,416500
Adidas,Linen,Most,Norway,2021,1808,10,3887,639,140,459726
Adidas,Recycled_Poly,Moderate,Mexico,2020,3126,16,5089,1039,377,473194
Zara,Tencel,Most,Norway,2019,1791,11,4661,737,259,424271
Zara,Organic_Cotton,Most,Denmark,2022,2011,9,4601,905,252,468609
Zara,Polyester,Least,Indonesia,2021,5224,19,6436,1112,480,489331
Adidas,Cotton,Least,India,2021,3395,18,17,1052,415,539843
Zara,Cotton,Least,Brazil,2018,4973,23,6033,1204,583,539183
Adidas,Viscose,Moderate,United States,2022,2969,14,5118,1071,372,455371
Nike,Wool,Most,Norway,2018,1447,10,3625,817,217,479917
Adidas,Nylon,Least,India,2022,4479,20,19,940,569,551521
Urban Outfitters,Nylon,Least,Brazil,2021,3772,20,6411,1031,499,521559
Forever 21,Synthetic_Blend,Least,China,2021,5287,23,6583,1215,539,499054
Nike,Synthetic_Blend,Least,Bangladesh,2022,3992,16,19,1003,484,529273
Nike,Wool,Most,Switzerland,2021,1815,9,3441,712,145,483987
Urban Outfitters,Linen,Most,Norway,2019,2071,10,3682,933,223,417075
Zara,Linen,Most,Switzerland,2020,1609,10,4177,954,319,437221
Adidas,Synthetic_Blend,Least,Brazil,2022,4117,18,16,934,435,522830
Nike,Viscose,Moderate,United States,2019,2382,16,4332,1012,306,474772
Adidas,Recycled_Poly,Moderate,Italy,2022,2912,14,4656,1032,347,470142
Forever 21,Microfiber,Moderate,Italy,2020,3311,17,4992,1192,429,471221
Nike,Organic_Cotton,Most,Sweden,2020,1300,8,3312,890,170,419712
Urban Outfitters,Polyester,Least,Bangladesh,2021,3905,19,6060,1057,487,510406
Nike,Polyester,Least,India,2019,4229,18,16,946,494,538858
Urban Outfitters,Microfiber,Moderate,United States,2020,3368,15,4684,1173,304,499509
Zara,Nylon,Least,Indonesia,2019,3799,22,6483,1218,502,524387
Urban Outfitters,Polyester,Least,Brazil,2021,3794,20,5894,1016,542,493042
Zara,Nylon,Least,Indonesia,2018,4228,19,5788,1195,598,498414
Zara,Linen,Most,Finland,2019,1770,11,4268,1027,202,422749
Adidas,Viscose,Moderate,France,2020,2816,16,5242,1039,380,455112
Forever 21,Wool,Most,Norway,2020,1569,9,3836,1015,183,426772
Nike,Organic_Cotton,Most,Sweden,2021,1573,8,3864,642,193,429590
Nike,Organic_Cotton,Most,Denmark,2019,1482,9,4081,801,212,476026
Zara,Wool,Most,Denmark,2021,1571,10,3729,782,189,492666
Zara,Tencel,Most,Switzerland,2020,1537,12,3947,768,296,441609
Urban Outfitters,Synthetic_Blend,Least,Indonesia,2022,3500,20,6987,1198,452,480713
Forever 21,Nylon,Least,India,2022,3749,20,5730,1192,546,502508
Forever 21,Wool,Most,Denmark,2019,1869,12,3652,874,249,409970
Adidas,Wool,Most,Norway,2020,1720,10,3430,692,169,470033
Forever 21,Microfiber,Moderate,United States,2018,3583,16,5305,1053,329,470279
Zara,Cotton,Least,China,2020,3782,20,6976,1112,478,492959
Nike,Tencel,Most,Norway,2021,1985,9,3520,623,143,432079
Adidas,Recycled_Poly,Moderate,Spain,2019,2617,14,4650,957,420,492530
Zara,Recycled_Poly,Moderate,Italy,2022,3375,17,4950,1059,458,449187
Adidas,Cotton,Least,Brazil,2020,3630,19,20,903,517,512842
Zara,Recycled_Poly,Moderate,France,2021,3240,16,5675,1147,408,468344
Urban Outfitters,Polyester,Least,Bangladesh,2021,3830,21,5833,1179,455,480917
Forever 21,Nylon,Least,Brazil,2018,4864,20,6927,1118,570,510971
Zara,Recycled_Poly,Moderate,Italy,2019,2879,16,5301,1155,366,459175
Urban Outfitters,Cotton,Least,India,2019,4272,19,6195,1071,554,547962
Zara,Linen,Most,Denmark,2018,2173,12,4195,831,241,491981
Nike,Organic_Cotton,Most,Sweden,2020,1862,10,3622,723,215,440574
Zara,Wool,Most,Denmark,2021,2324,11,4567,982,194,443615
Nike,Polyester,Least,Brazil,2019,4324,17,17,1074,445,545440
Adidas,Recycled_Poly,Moderate,France,2021,2352,16,4413,1099,316,488774
Nike,Organic_Cotton,Most,Sweden,2022,1713,9,4019,714,157,438102
Adidas,Wool,Most,Sweden,2019,1903,8,3592,700,186,474734
Adidas,Synthetic_Blend,Least,Brazil,2021,3911,16,18,1076,504,549487
Nike,Polyester,Least,Brazil,2021,3675,16,18,1056,576,499486
Urban Outfitters,Viscose,Moderate,France,2022,2941,14,4544,1105,388,511528
Zara,Microfiber,Moderate,France,2018,2909,14,5103,1092,449,482401
Adidas,Viscose,Moderate,United States,2018,2294,14,5169,969,360,499070
Forever 21,Organic_Cotton,Most,Denmark,2022,2235,12,4521,823,246,465776
Adidas,Cotton,Least,India,2022,3348,20,17,1070,487,538319
Urban Outfitters,Synthetic_Blend,Least,Indonesia,2022,4550,19,6797,1068,515,528630
Nike,Organic_Cotton,Most,Finland,2021,1797,10,3306,785,142,450764
Adidas,Viscose,Moderate,Mexico,2018,2818,16,4946,1012,360,497281
Adidas,Wool,Most,Finland,2018,1567,9,4058,649,175,482065
Urban Outfitters,Linen,Most,Finland,2020,2394,10,3676,902,241,447335
Nike,Tencel,Most,Norway,2021,1830,10,3948,785,168,469208
Nike,Recycled_Poly,Moderate,Spain,2020,2750,13,5071,928,394,509441
Zara,Wool,Most,Sweden,2020,1835,11,4038,909,319,448726
Zara,Tencel,Most,Switzerland,2019,1602,10,4616,774,214,432218
Forever 21,Synthetic_Blend,Least,China,2019,4663,19,6300,1225,602,507875
Forever 21,Recycled_Poly,Moderate,United States,2021,3507,17,5032,1211,385,485713
Adidas,Organic_Cotton,Most,Sweden,2022,1337,8,3539,840,178,495441
Forever 21,Cotton,Least,India,2022,5356,22,6476,1244,506,546123
Forever 21,Cotton,Least,Indonesia,2019,4973,21,6724,1191,532,532009
Urban Outfitters,Tencel,Most,Switzerland,2021,1807,9,3930,791,170,469657
Zara,Nylon,Least,Brazil,2020,4204,23,5797,1190,485,548222
Zara,Polyester,Least,Brazil,2021,5044,21,6134,1211,551,516650
Urban Outfitters,Recycled_Poly,Moderate,Italy,2021,3188,15,5216,1034,427,487130
Nike,Recycled_Poly,Moderate,United States,2021,2538,12,4664,1072,296,465893
Nike,Organic_Cotton,Most,Switzerland,2018,1310,8,3653,723,157,483073
Forever 21,Linen,Most,Finland,2019,2232,10,4249,984,309,428701
Urban Outfitters,Recycled_Poly,Moderate,France,2018,3228,15,5334,1127,434,470713
Zara,Wool,Most,Switzerland,2021,1854,10,4192,1030,252,498358
Nike,Cotton,Least,Brazil,2022,3688,20,20,1099,519,521781
Adidas,Wool,Most,Norway,2021,1845,10,3564,791,174,433411
Nike,Synthetic_Blend,Least,Indonesia,2022,4216,18,16,1001,425,553798
Zara,Nylon,Least,Indonesia,2021,4472,20,6273,1271,604,529006
Nike,Nylon,Least,Brazil,2021,3240,20,20,947,425,548129
Forever 21,Nylon,Least,India,2022,4383,22,6709,1119,553,538711
Forever 21,Wool,Most,Denmark,2022,2394,10,3797,874,204,498784
Urban Outfitters,Linen,Most,Denmark,2022,2147,12,4090,698,162,486376
Zara,Cotton,Least,Indonesia,2022,3831,23,6829,1134,541,494858
Urban Outfitters,Polyester,Least,India,2021,4396,21,6008,1019,590,520995
Adidas,Synthetic_Blend,Least,India,2021,4095,18,18,979,538,530840
Adidas,Cotton,Least,Brazil,2022,3268,17,20,1067,461,557871
Urban Outfitters,Nylon,Least,Brazil,2020,4090,19,6576,1088,468,537808
Urban Outfitters,Organic_Cotton,Most,Sweden,2022,2373,11,3664,609,248,489606
Urban Outfitters,Organic_Cotton,Most,Sweden,2020,2229,12,3551,762,236,401141
Zara,Nylon,Least,Brazil,2019,4269,22,6000,1152,509,536119
Forever 21,Tencel,Most,Norway,2019,1749,11,4133,1001,213,473534
Urban Outfitters,Synthetic_Blend,Least,China,2019,3898,20,6852,1004,508,481888
Nike,Viscose,Moderate,Spain,2022,2254,12,4786,1018,380,465371
Forever 21,Recycled_Poly,Moderate,Mexico,2020,2893,15,4741,1093,463,458584
Adidas,Linen,Most,Denmark,2019,1327,9,3508,889,173,455481
Urban Outfitters,Linen,Most,Switzerland,2021,1796,9,3613,693,232,481685
Forever 21,Microfiber,Moderate,Mexico,2020,3205,17,5084,1117,334,458587
Nike,Tencel,Most,Denmark,2020,1769,9,3627,846,161,433711
Forever 21,Recycled_Poly,Moderate,Spain,2018,3445,16,5673,1190,353,493155
Adidas,Organic_Cotton,Most,Denmark,2022,1971,8,4053,623,174,482306
Forever 21,Linen,Most,Sweden,2021,1983,12,4620,979,319,439271
Urban Outfitters,Tencel,Most,Finland,2018,1636,8,3591,959,259,440792
Nike,Nylon,Least,India,2020,3408,20,18,956,553,525134
Adidas,Microfiber,Moderate,Italy,2019,2425,15,4968,919,416,493711
Nike,Cotton,Least,Brazil,2022,3317,16,16,984,401,485900
Forever 21,Organic_Cotton,Most,Denmark,2018,2163,12,4564,740,276,401434
Forever 21,Nylon,Least,India,2022,4148,21,6095,1127,578,494517
Adidas,Recycled_Poly,Moderate,Italy,2018,2832,14,5284,958,339,490803
Forever 21,Wool,Most,Finland,2021,1601,9,4058,1038,283,468782
Adidas,Nylon,Least,Indonesia,2020,3696,16,19,914,505,498830
Zara,Recycled_Poly,Moderate,United States,2020,3292,15,5282,1058,458,510575
Zara,Organic_Cotton,Most,Sweden,2021,1769,11,4497,859,320,417850
Forever 21,Polyester,Least,China,2020,5062,21,6021,1127,583,494583
Nike,Microfiber,Moderate,Mexico,2020,3066,13,4913,1003,324,485215
Forever 21,Linen,Most,Norway,2019,2295,9,4502,819,235,422935
Nike,Viscose,Moderate,Mexico,2019,2813,16,4918,991,397,514526
Forever 21,Polyester,Least,Brazil,2022,4739,22,6382,1152,580,509739
Adidas,Viscose,Moderate,Mexico,2022,2289,16,5022,1053,287,532345
Forever 21,Organic_Cotton,Most,Finland,2021,1816,12,4319,722,320,479463
Zara,Organic_Cotton,Most,Finland,2019,2000,10,4422,906,187,404593
Zara,Organic_Cotton,Most,Denmark,2018,1978,12,4426,767,255,488107
Nike,Tencel,Most,Denmark,2022,1468,10,3908,649,215,485917
Adidas,Synthetic_Blend,Least,Brazil,2021,3578,19,19,1098,465,539935
Urban Outfitters,Nylon,Least,Indonesia,2020,3555,21,6302,1045,593,484635
Zara,Tencel,Most,Sweden,2018,1714,12,3829,916,273,490031
Forever 21,Recycled_Poly,Moderate,United States,2020,2957,17,5026,1063,457,503779
Nike,Tencel,Most,Norway,2018,1907,8,3501,878,156,421021
Zara,Cotton,Least,Brazil,2018,5031,20,6171,1260,569,531336
Zara,Cotton,Least,China,2021,3835,23,6205,1176,486,484729
Nike,Polyester,Least,Brazil,2019,4385,18,17,1041,495,504460
Zara,Recycled_Poly,Moderate,Mexico,2019,3521,14,5457,1248,426,519889
Nike,Cotton,Least,Bangladesh,2020,4437,18,16,934,550,551961
Adidas,Linen,Most,Sweden,2020,1977,10,3395,703,181,440023
Adidas,Wool,Most,Denmark,2019,1918,10,3763,731,203,463667
Adidas,Tencel,Most,Switzerland,2020,1657,9,4098,830,156,470528
Nike,Tencel,Most,Sweden,2020,1694,9,3922,861,153,447482
Adidas,Nylon,Least,Indonesia,2022,4166,16,17,1047,413,518012
Urban Outfitters,Nylon,Least,Indonesia,2018,4945,22,6544,1017,509,545584
Zara,Cotton,Least,China,2021,4483,21,6943,1136,572,507413
Zara,Wool,Most,Denmark,2022,2450,12,4123,795,189,497226
Zara,Recycled_Poly,Moderate,Mexico,2020,2996,15,5305,1109,402,520298
Zara,Microfiber,Moderate,Mexico,2021,3454,17,5064,1232,330,524503
Adidas,Organic_Cotton,Most,Sweden,2021,1457,9,3531,741,186,448154
Nike,Tencel,Most,Switzerland,2019,1699,9,3896,683,135,498025
